編號,鄉鎮市區,主要用途,單價元坪,建築完成年
RPQOMLNJNHOFFAA57CA,中正區,住家用,244284.29752066117,074
RPPPMLNJNHOFFAA57CA,文山區,住家用,513133.8842975207,092
RPOQMLNJNHOFFAA57CA,文山區,住家用,424525.6198347107,""
RPQQMLNJNHOFFAA77CA,文山區,住家用,302614.87603305787,088
RPPNMLRJNHOFFAA77CA,文山區,住家用,282003.30578512396,""
RPWPMLNJNHOFFAA28CA,文山區,住家用,418532.2314049587,087
RPWNMLTJNHOFFAA68CA,文山區,住家用,405818.1818181818,088
RPTOMLNKNHOFFAA97CA,文山區,住家用,323408.26446280995,084
RPQNMLRKNHOFFAA97CA,文山區,住家用,365990.0826446281,071
RPRNMLMJNHOFFBA57CA,大同區,住家用,410429.75206611573,062
RPTNMLQJNHOFFBA18CA,大同區,住家用,523471.0743801653,105
RPRPMLQJNHOFFBA18CA,大同區,住家用,352948.76033057855,070
RPPOMLTJNHOFFBA18CA,大同區,住家用,670836.3636363636,""
RPSNMLRKNHOFFBA28CA,大同區,住家用,506519.0082644628,060
RPTNMLOLNHOFFBA18CA,萬華區,住家用,484879.3388429752,100
RPQNMLPLNHOFFBA97CA,中正區,住家用,1056502.479338843,106
RPXOMLMJNHOFFCA38CA,中山區,住家用,805722.3140495868,099
RPUPMLMJNHOFFCA18CA,內湖區,住家用,563110.7438016529,084
RPPRMLMJNHOFFCA87CA,中山區,住家用,421606.611570248,069
RPUTMLNJNHOFFCA68CA,中山區,住家用,483778.5123966942,100
RPXOMLRJNHOFFCA88CA,中山區,住家用,507319.0082644628,066
RPTNMLRJNHOFFCA38CA,中山區,住家用,440386.77685950417,071
RPSOMLSJNHOFFCA48CA,內湖區,住家用,416803.30578512396,070
RPURMLSJNHOFFCA98CA,內湖區,住家用,587960.3305785124,105
RPRPMLKKNHOFFCA77CA,中山區,住家用,533824.7933884298,083
RPQNMLOKNHOFFCA87CA,中山區,住家用,615170.2479338843,066
RPTNMLPKNHOFFCA28CA,內湖區,住家用,709120.6611570248,107
RPUNMLPKNHOFFCA38CA,內湖區,住家用,653566.9421487603,107
RPWNMLPKNHOFFCA58CA,內湖區,住家用,732694.2148760331,107
RPXNMLPKNHOFFCA68CA,內湖區,住家用,719371.9008264462,107
RPOOMLPKNHOFFCA87CA,內湖區,住家用,699517.3553719008,107
RPROMLPKNHOFFCA18CA,內湖區,住家用,675573.5537190082,107
RPVOMLPKNHOFFCA58CA,內湖區,住家用,687857.8512396695,107
RPXOMLPKNHOFFCA78CA,內湖區,住家用,672482.6446280992,107
RPSSMLPKNHOFFCA68CA,內湖區,住家用,535586.7768595042,095
RPTPMLQKNHOFFCA58CA,中山區,住家用,524892.561983471,068
RPWOMLRKNHOFFCA88CA,內湖區,住家用,655996.694214876,107
RPOSMLKMNHOFFCA97CA,內湖區,住家用,573778.5123966943,077
RPQPMLMJNHOFFDA87CA,南港區,住家用,643725.6198347107,094
RPTNMLNJNHOFFDA08CA,南港區,住家用,498251.2396694215,100
RPQNMLKKNHOFFDA57CA,南港區,住家用,422033.0578512397,083
RPVNMLOKNHOFFDA48CA,松山區,住家用,668604.9586776859,097
RPUPMLRKNHOFFDA88CA,松山區,住家用,860803.305785124,048
RPQOMLLJNHOFFEA77CA,士林區,住家用,628380.1652892563,059
RPROMLQJNHOFFEA38CA,士林區,住家用,738320.6611570248,083
RPTPMLQJNHOFFEA68CA,北投區,住家用,660687.6033057851,108
RPUPMLQJNHOFFEA78CA,北投區,住家用,668350.4132231405,108
